Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
#2800 777,14-Oct-20,Wednesday,19,Visa,CVC,£21,Online,Gaming,United Kingdom,China,United Kingdom,M,46.1,Lloyds,0
#3546 149,13-Oct-20,Tuesday,0,Visa,CVC,£6,Online,Gaming,Russia,Russia,United Kingdom,M,52.0,Metro,1
#3203 063,13-Oct-20,Tuesday,9,MasterCard,PIN,£7,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,43.9,Monzo,0
#2654 293,14-Oct-20,Wednesday,20,Visa,CVC,£17,Online,Children,United Kingdom,China,United Kingdom,F,31.5,Barclays,1
#3195 835,14-Oct-20,Wednesday,11,Visa,CVC,£27,Online,Food,United Kingdom,India,United Kingdom,F,33.8,Barlcays,1
#3415 524,14-Oct-20,Wednesday,19,Visa,PIN,£15,ATM,Restaurant,India,India,United Kingdom,M,26.9,Barlcays,1
#2755 402,13-Oct-20,Tuesday,20,Visa,CVC,£394,Online,Electronics,India,India,United Kingdom,M,35.9,Metro,1
#3526 418,13-Oct-20,Tuesday,5,Visa,Tap,£14,POS,Food,United Kingdom,Russia,United Kingdom,F,35.7,Metro,1
#3209 551,13-Oct-20,Tuesday,18,Visa,CVC,£245,Online,Entertainment,Russia,Russia,United Kingdom,F,47.8,Metro,1
#3358 996,14-Oct-20,Wednesday,16,Visa,PIN,£71,POS,Fashion,India,India,United Kingdom,M,49.1,RBS,1
#3269 273,13-Oct-20,Tuesday,10,Visa,CVC,£20,Online,Fashion,China,China,United Kingdom,F,41.5,Barclays,1
#3648 200,13-Oct-20,Tuesday,16,MasterCard,Tap,£27,POS,Entertainment,Russia,Russia,United Kingdom,M,46.4,Barclays,1
#3372 869,14-Oct-20,Wednesday,8,MasterCard,Tap,£26,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,34.7,Barclays,0
#3678 478,14-Oct-20,Wednesday,15,Visa,PIN,£388,POS,Children,USA,USA,United Kingdom,M,55.2,HSBC,1
#3610 587,14-Oct-20,Wednesday,22,Visa,PIN,£7,ATM,Electronics,United Kingdom,India,United Kingdom,M,33.7,Barclays,1
#3462 932,13-Oct-20,Tuesday,0,MasterCard,PIN,£388,POS,Children,India,India,United Kingdom,F,44.6,RBS,1
#3506 290,13-Oct-20,Tuesday,13,Visa,Tap,£19,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,46.3,Barclays,0
#3633 591,14-Oct-20,Wednesday,18,MasterCard,CVC,£26,Online,Products,United Kingdom,United Kingdom,United Kingdom,F,46.3,RBS,0
#3409 006,13-Oct-20,Tuesday,20,Visa,CVC,£63,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,M,49.4,Barlcays,0
#3661 974,13-Oct-20,Tuesday,3,Visa,CVC,£12,Online,Subscription,USA,USA,United Kingdom,M,47.5,Barclays,1
#3223 219,14-Oct-20,Wednesday,6,Visa,Tap,£19,POS,Children,Russia,Russia,United Kingdom,F,64.8,Monzo,1
#3287 390,13-Oct-20,Tuesday,3,MasterCard,PIN,£6,ATM,Services,USA,USA,United Kingdom,M,59.5,Barclays,1
#3304 039,14-Oct-20,Wednesday,22,Visa,PIN,£12,ATM,Children,China,China,United Kingdom,F,32.7,Barclays,1
#3519 459,14-Oct-20,Wednesday,21,MasterCard,CVC,£111,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,38.8,Metro,0
#3459 085,14-Oct-20,Wednesday,7,Visa,CVC,£27,Online,Electronics,India,India,United Kingdom,M,33.2,Metro,1
#3180 321,13-Oct-20,Tuesday,10,MasterCard,PIN,£12,ATM,Electronics,United Kingdom,Russia,United Kingdom,F,33.9,Metro,1
#3383 909,13-Oct-20,Tuesday,3,MasterCard,CVC,£196,Online,Restaurant,Russia,Russia,United Kingdom,M,45.7,Barclays,1
#3184 321,14-Oct-20,Wednesday,21,Visa,CVC,£28,Online,Fashion,United Kingdom,Russia,United Kingdom,M,51.1,Metro,1
#3472 736,13-Oct-20,Tuesday,16,Visa,PIN,£172,ATM,Subscription,United Kingdom,United Kingdom,United Kingdom,M,52.5,Halifax,0
#3320 961,13-Oct-20,Tuesday,11,MasterCard,PIN,£276,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,M,28.2,Metro,0
#3281 833,13-Oct-20,Tuesday,21,Visa,CVC,£229,Online,Children,USA,USA,United Kingdom,M,58.1,RBS,1
#3283 127,14-Oct-20,Wednesday,2,Visa,PIN,£11,ATM,Electronics,United Kingdom,USA,United Kingdom,M,59.5,Barclays,1
#3262 370,14-Oct-20,Wednesday,5,Visa,PIN,£11,ATM,Subscription,India,India,United Kingdom,M,38.6,Monzo,1
#3065 973,14-Oct-20,Wednesday,13,MasterCard,PIN,£20,ATM,Gaming,USA,USA,USA,M,33.1,Barclays,0
#2620 283,14-Oct-20,Wednesday,19,Visa,CVC,£121,Online,Services,China,United Kingdom,China,M,43.1,Barclays,0
#2929 404,14-Oct-20,Wednesday,15,MasterCard,CVC,£15,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,62.9,RBS,0
#2548 203,13-Oct-20,Tuesday,0,Visa,Tap,£23,POS,Entertainment,India,India,United Kingdom,F,60.5,Barclays,1
#3468 052,13-Oct-20,Tuesday,18,Visa,CVC,£279,Online,Children,India,India,United Kingdom,F,42.3,Barlcays,1
#2566 470,14-Oct-20,Wednesday,16,Visa,Tap,£24,POS,Electronics,USA,USA,USA,M,50.7,Halifax,0
#2987 596,13-Oct-20,Tuesday,8,Visa,CVC,£21,Online,Fashion,United Kingdom,USA,United Kingdom,M,45.4,Metro,1
#3469 451,13-Oct-20,Tuesday,9,Visa,PIN,£17,ATM,Children,United Kingdom,United Kingdom,United Kingdom,F,32.5,Barlcays,0
#2779 311,14-Oct-20,Wednesday,7,Visa,CVC,£87,Online,Children,India,India,United Kingdom,F,40.0,Barclays,1
#3426 996,14-Oct-20,Wednesday,14,Visa,CVC,£312,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,53.2,Halifax,0
#2630 457,14-Oct-20,Wednesday,7,Visa,CVC,£25,Online,Products,USA,USA,United Kingdom,F,51.0,Barlcays,1
#2891 844,14-Oct-20,Wednesday,21,Visa,PIN,£199,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,34.8,HSBC,0
#3475 442,13-Oct-20,Tuesday,13,MasterCard,CVC,£20,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,49.1,Halifax,0
#2819 061,13-Oct-20,Tuesday,18,MasterCard,CVC,£16,Online,Fashion,India,India,United Kingdom,F,37.5,HSBC,1
#2604 986,14-Oct-20,Wednesday,20,Visa,CVC,£152,Online,Food,Russia,Russia,Russia,M,44.0,Lloyds,0
#3421 934,13-Oct-20,Tuesday,4,MasterCard,PIN,£67,ATM,Electronics,India,India,United Kingdom,M,29.7,Barclays,1
#2759 054,14-Oct-20,Wednesday,23,Visa,PIN,£17,ATM,Electronics,China,China,United Kingdom,F,43.2,Halifax,1
#3191 473,13-Oct-20,Tuesday,23,MasterCard,PIN,£28,ATM,Subscription,United Kingdom,United Kingdom,United Kingdom,F,41.1,RBS,0
#3523 099,13-Oct-20,Tuesday,7,Visa,PIN,£29,ATM,Subscription,United Kingdom,USA,United Kingdom,M,60.8,Barclays,1
#2954 252,13-Oct-20,Tuesday,13,Visa,CVC,£27,Online,Electronics,United Kingdom,USA,United Kingdom,M,49.5,Halifax,1
#3605 682,14-Oct-20,Wednesday,10,MasterCard,CVC,£25,Online,Food,United Kingdom,United Kingdom,United Kingdom,M,45.0,Barlcays,0
#2688 526,14-Oct-20,Wednesday,11,MasterCard,PIN,£252,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,57.6,Barclays,0
